
Forward Euler Method: 
time:     V1:        V2:     
0.0000000682   0.6593813133   4.9949044814   
0.0000000684   0.6661936870   4.9950062887   
0.0000000686   0.6728698132   4.9951060393   
0.0000000688   0.6794124170   4.9952037707   
0.0000000690   0.6858241686   4.9952995192   
0.0000000692   0.6921076853   4.9953933198   
0.0000000694   0.6982655316   4.9954852062   
0.0000000696   0.7043002209   4.9955752106   
0.0000000698   0.7102142165   4.9956633641   
0.0000000700   0.7160099322   4.9957496960   
0.0000000702   0.7216897335   4.9958342343   
0.0000000704   0.7232559389   4.9959170055   
0.0000000706   0.7207908201   4.9959980981   
0.0000000708   0.7143750037   4.9960776049   
0.0000000710   0.7040875036   4.9961556049   
0.0000000712   0.6900057535   4.9962321524   
0.0000000714   0.6762056385   4.9963072756   
0.0000000716   0.6626815257   4.9963809685   
0.0000000718   0.6494278952   4.9964532366   
0.0000000720   0.6364393373   4.9965240930   
0.0000000722   0.6237105505   4.9965935554   
0.0000000724   0.6112363395   4.9966616447   
0.0000000726   0.5990116127   4.9967283835   
0.0000000728   0.5870313805   4.9967937955   
0.0000000730   0.5752907529   4.9968579048   
0.0000000732   0.5637849378   4.9969207359   
0.0000000734   0.5525092391   4.9969823133   
0.0000000736   0.5414590543   4.9970426612   
0.0000000738   0.5306298732   4.9971018036   
0.0000000740   0.5200172757   4.9971597643   
0.0000000742   0.5096169302   4.9972165666   
0.0000000744   0.4994245916   4.9972722334   
0.0000000746   0.4894360998   4.9973267873   
0.0000000748   0.4796473778   4.9973802505   
0.0000000750   0.4700544302   4.9974326447   
0.0000000752   0.4606533416   4.9974839911   
0.0000000754   0.4514402748   4.9975343108   
0.0000000756   0.4424114693   4.9975836242   
0.0000000758   0.4335632399   4.9976319514   
0.0000000760   0.4248919751   4.9976793122   
0.0000000762   0.4163941356   4.9977257257   
0.0000000764   0.4080662529   4.9977712111   
0.0000000766   0.3999049278   4.9978157867   
0.0000000768   0.3919068293   4.9978594709   
0.0000000770   0.3840686927   4.9979022814   
0.0000000772   0.3763873188   4.9979442357   
0.0000000774   0.3688595725   4.9979853509   
0.0000000776   0.3614823810   4.9980256439   
0.0000000778   0.3542527334   4.9980651310   
0.0000000780   0.3471676787   4.9981038283   
0.0000000782   0.3402243252   4.9981417517   
0.0000000784   0.3334198387   4.9981789167   
0.0000000786   0.3267514419   4.9982153383   
0.0000000788   0.3202164130   4.9982510315   
